International plan,Voice mail plan,Number vmail messages,Total day minutes,Total eve minutes,Total night minutes,Customer service calls,Churn
Yes,Yes,0,334.24,247.88,249.09,1,1
Yes,Yes,4,250.44,261.72,121.58,4,1
Yes,Yes,3,61.63,240.75,137.94,0,0
Yes,Yes,28,81.0,170.91,73.8,1,0
No,No,0,251.38,232.77,134.61,0,0
No,Yes,7,167.34,171.51,138.15,3,0
No,No,0,238.21,232.58,236.65,0,0
No,No,0,257.03,75.82,167.6,5,1
No,No,0,108.59,223.75,112.47,3,0
Yes,No,0,218.27,212.09,209.99,6,1
No,Yes,24,227.97,164.59,214.36,5,1
No,No,0,222.54,190.11,170.95,6,1
No,Yes,30,50.68,56.54,142.83,6,1
Yes,Yes,40,94.04,246.4,160.66,3,1
No,No,0,192.06,51.23,115.23,6,1
No,No,0,300.49,154.1,100.52,4,1
No,Yes,0,201.77,169.12,101.61,2,0
Yes,Yes,6,280.51,66.26,205.85,1,1
No,Yes,21,116.58,232.11,98.23,3,0
No,No,0,306.08,89.79,58.88,0,1
No,Yes,20,223.8,139.86,190.73,1,0
No,Yes,27,320.56,90.29,74.45,0,1
Yes,Yes,2,63.52,239.2,55.44,3,1
Yes,No,0,115.07,251.29,196.21,0,0
No,Yes,25,157.8,295.55,107.38,4,1
Yes,No,0,269.86,214.03,195.27,4,1
No,Yes,10,93.62,80.23,213.54,1,0
Yes,No,0,309.42,231.11,161.67,2,1
No,Yes,22,62.67,112.8,127.98,6,1
Yes,No,0,280.26,58.43,169.65,5,1
No,Yes,9,116.54,124.48,103.93,6,1
Yes,No,0,242.41,103.5,224.72,5,1
No,Yes,31,216.37,115.57,138.96,1,0
No,Yes,10,241.76,214.52,85.98,5,1
No,Yes,28,306.44,114.23,199.13,3,1
No,Yes,39,301.77,141.63,85.99,2,1
Yes,Yes,14,126.78,209.87,219.74,3,1
Yes,Yes,8,201.36,163.75,137.03,0,0
Yes,No,0,274.68,244.09,200.02,0,1
Yes,No,0,210.84,96.62,110.7,2,0
No,No,0,346.85,107.71,103.91,0,1
Yes,No,0,297.51,93.06,236.61,5,1
Yes,Yes,38,203.18,210.37,159.21,5,1
No,No,0,77.45,81.17,97.4,0,0
Yes,Yes,16,168.48,290.88,51.82,1,0
No,Yes,32,217.16,164.7,132.08,5,1
Yes,Yes,40,186.84,87.28,182.19,5,1
Yes,Yes,14,70.03,229.29,55.43,4,1
Yes,Yes,33,105.68,50.35,213.27,5,1
Yes,Yes,22,315.62,99.83,212.83,1,1
Yes,No,0,76.48,160.0,158.86,7,1
Yes,No,0,141.37,107.1,199.99,1,0
Yes,No,0,137.94,51.4,67.02,2,0
Yes,No,0,170.93,82.71,156.88,0,0
Yes,No,0,117.92,243.85,85.92,1,0
No,No,0,256.4,132.55,148.39,3,0
No,No,0,248.05,86.98,87.64,0,0
No,No,0,281.44,202.16,232.1,1,1
Yes,No,0,55.74,127.27,79.17,2,0
Yes,Yes,31,329.21,159.62,196.67,5,1
Yes,No,0,260.43,54.06,165.19,5,1
No,Yes,37,254.81,244.67,100.33,0,0
Yes,No,0,94.81,196.4,150.38,2,0
No,Yes,30,128.74,86.45,80.11,2,0
No,Yes,39,104.89,122.35,158.48,6,1
Yes,Yes,24,287.45,219.98,189.11,4,1
Yes,No,0,279.71,284.58,224.01,6,1
Yes,No,0,96.7,228.18,197.18,5,1
No,No,0,281.84,254.29,158.81,1,1
No,No,0,97.87,154.99,204.77,5,1
Yes,No,0,80.24,74.82,239.0,3,1
No,Yes,15,184.75,263.45,115.77,6,1
