International plan,Voice mail plan,Number vmail messages,Total day minutes,Total eve minutes,Total night minutes,Customer service calls,Churn
No,Yes,26,59.04130443340803,112.48331100176352,183.24330997142678,4,0
No,Yes,38,80.52726807345636,187.04665471966032,116.02609995146297,9,0
Yes,No,49,247.7380530203523,264.7618526362777,230.99969600280116,3,0
No,Yes,2,157.93737047528842,175.22373917374472,131.88846978118454,4,1
Yes,Yes,35,72.38734212944712,276.59703960043686,205.12156562735376,3,1
Yes,No,42,204.77274291918772,104.50593546920801,190.5746498180604,5,1
No,Yes,43,173.36481377644654,242.82169365462758,136.45923030516036,8,0
Yes,Yes,6,271.1281033797072,139.89079260599448,142.13921186659013,7,0
Yes,Yes,38,155.69396859172917,65.2881690408973,93.66911519228339,4,0
Yes,No,14,98.11618760722061,265.1133995101213,60.089496309478,4,1
No,No,12,122.95283926087454,96.39922326186505,110.7199053407407,5,0
No,No,34,257.8532907548454,98.70612748889786,63.631109251896035,7,1
Yes,No,26,139.09800583912852,184.50233445844202,114.26034660638754,5,0
Yes,No,13,251.94718231824515,215.07435785807886,116.0570456478154,9,1
Yes,Yes,22,257.93602372437726,121.75394534666682,51.97735618742909,1,0
No,No,41,129.85619327001788,261.5390515691451,88.37898462335637,2,0
No,Yes,33,246.32553042018935,70.4125628911071,188.0728267568035,6,1
Yes,No,34,174.82095500811647,187.49900202333953,140.71403377241936,6,0
Yes,No,27,122.04423916483934,219.2156099753125,131.61864707510924,9,1
Yes,No,6,179.64154405113027,76.69660980370517,252.25872089576282,7,1
No,Yes,48,212.0506405641947,106.93675206640376,177.9788487696514,0,1
Yes,No,47,75.96547344087982,76.35112341190568,259.176274357336,4,1
No,No,38,276.5534162725803,275.1882363640626,169.01156304852424,4,1
No,No,14,274.4182315253801,246.50092334784128,186.81852056892183,2,0
No,Yes,32,109.23009087889972,87.19981939826667,252.17598458745337,0,0
Yes,Yes,33,126.443364331707,219.95112577503343,169.65035914138076,5,0
No,Yes,3,254.58984066919123,280.7652798989403,116.55152798725086,9,0
No,Yes,37,110.03588004553667,145.2131202820808,259.5429649591794,7,1
No,Yes,6,119.44609429572526,109.71197543876136,91.54877372370942,1,0
No,Yes,42,63.41336972055568,219.3127428881492,247.37468704355445,4,1
Yes,No,35,97.63056998720009,267.9193780805525,137.05201132100473,3,0
No,Yes,48,267.8497950857452,169.54179960844883,261.6746086050665,9,0
Yes,No,24,110.40282612349259,77.09028209169811,89.91031033369694,7,0
No,No,18,180.628396848536,101.79396598422775,121.99277186435377,8,0
Yes,No,36,251.92400699211973,130.79118812441297,247.28649475929703,5,0
No,No,28,60.73347043627334,217.41764466206556,246.600618671053,0,0
No,Yes,23,110.00840399446588,264.67634973947906,286.89529666566324,6,1
Yes,No,31,59.21877302636223,200.8265127848406,233.09752350784595,8,1
Yes,No,15,176.54917024485047,206.6463412207654,299.48700274623025,0,0
No,Yes,11,55.77424016459488,264.71727945672023,83.21949769982982,6,1
No,Yes,22,254.99184562288656,232.79962130693121,56.972087479861194,5,0
No,No,3,265.13303641862035,62.44570185543048,252.73246601300568,3,0
No,Yes,0,133.97258218213517,107.10389600124205,85.41478248583036,5,0
Yes,Yes,41,58.079031534019066,188.66857505473348,94.26494862363009,6,1
No,No,43,292.60813033235223,63.74121639525016,144.84423777982886,4,1
No,Yes,21,298.7418499859323,62.2583615600427,245.66123120865342,7,0
Yes,Yes,18,228.8559476143308,230.43892039145697,235.63592672760166,8,0
Yes,No,22,283.90627592693454,158.36972867844895,154.37745128231228,7,0
No,Yes,37,270.5749818297752,137.40928564111925,205.76732254242546,2,1
No,Yes,7,223.95605892316712,131.06076983635722,221.15977740292777,9,1
No,Yes,26,284.51089719837336,52.19930665859203,86.13069903207469,7,0
Yes,No,29,154.8601496819035,273.2210626025807,207.6688299933022,9,0
Yes,No,42,132.95855041004194,85.16496128301381,55.55864345563162,7,0
Yes,Yes,8,157.42463728294987,172.50942858005024,127.28330528889471,6,1
No,Yes,46,242.14803782438747,203.1734324669753,299.4024609569235,5,0
Yes,Yes,0,169.11191041165054,195.31374948400133,191.05760789906455,2,1
No,No,34,148.56356753121094,293.90834214968567,235.79649433560246,0,0
Yes,No,49,170.91893525489007,235.56404395630818,130.15545346472373,4,1
No,Yes,15,257.3626808016792,120.2796932040733,86.66378512188992,9,0
No,Yes,25,114.81032297307578,252.72698797912585,171.34147669142678,8,1
No,No,7,170.2799401714662,89.97605612914674,124.27225667549692,4,1
Yes,Yes,41,138.64091934974905,260.09496774396786,136.62615077304463,0,1
Yes,No,21,92.6884807183342,76.59034352005501,119.95509987012224,5,1
Yes,Yes,47,287.22184659433583,233.88836173839812,179.23828052630398,5,1
Yes,No,6,154.3678556629444,103.05136559764719,141.89054977603328,4,0
Yes,Yes,0,149.534585153303,142.62382510549935,184.5973854521385,2,1
No,No,46,56.87382550457752,132.84461616182608,223.76784280949266,3,0
No,No,32,244.7602669679741,187.53014396900102,141.23995482679612,1,1
Yes,No,10,278.1950130801373,238.0519546412345,138.12629118177097,0,1
Yes,Yes,6,294.1420660240425,223.84385445273412,142.50481039592245,4,0
Yes,Yes,17,242.02404541985814,297.43890887056784,255.90968455210225,3,0
No,Yes,12,109.12676739259112,274.1245088875621,232.08389535301296,2,0
Yes,No,16,62.13183578895949,127.93036136930779,285.380277212681,7,1
Yes,Yes,8,269.0201629797166,228.43357369395173,127.44924727754132,2,1
No,Yes,30,66.94367866677696,119.13791035766292,97.87383991711982,7,1
No,Yes,13,259.18497437205644,268.3401483411003,256.62291280720575,3,0
No,No,24,72.69584384266851,283.6607798474424,175.0706822738303,8,1
Yes,Yes,25,71.25247819010087,89.23083059831603,262.21043225577046,6,0
Yes,No,30,193.99188867808127,79.22954360399251,111.4666917698352,2,0
No,No,21,142.7492000950441,100.21219724861167,111.08314371977372,1,1
Yes,Yes,6,227.39933139381907,234.88111071369002,221.05354348095702,5,0
No,Yes,20,137.31642516133803,95.98145389878752,134.53993643961863,6,0
Yes,No,39,69.71416184622137,202.22662346459308,161.61077155384555,3,1
No,No,13,186.66292652403735,134.21941995926744,171.85754089449827,9,0
Yes,Yes,43,160.37108081106572,220.06437860835658,262.85302126888547,7,0
Yes,No,26,245.6435772829662,59.61088296321302,111.17974315835068,1,0
Yes,Yes,20,202.82485365032605,57.415099238421206,224.53237857273302,4,1
No,No,43,247.93126776015967,260.4363480821321,256.715247614427,0,0
No,No,7,279.9536085158934,268.4695988670725,178.8019769156148,5,1
Yes,Yes,36,269.4232491844806,79.45629754124329,125.01862662330508,6,1
No,Yes,32,99.36024030941232,94.51632954397635,171.65314958094132,6,1
No,No,26,206.0391301885213,169.03944343118724,189.02215864257667,0,0
No,No,3,285.96994562415193,288.34244976286107,109.73906950910576,9,0
No,No,44,118.50641913582727,230.66138461192267,290.2855651503337,2,0
No,No,43,57.23906193854551,262.54478021160054,184.61648267784562,5,1
Yes,Yes,32,54.00066156945245,240.47591813614645,91.25909265803509,5,1
No,No,41,53.95907228766176,294.37194255585223,280.82738368955125,6,1
Yes,No,27,159.69417259353656,93.6660261008932,70.5957651218956,6,0
Yes,No,38,108.21540780415488,130.80022887424406,133.80468731724687,7,0
No,Yes,34,278.2736313504598,236.2171504265915,79.44025130364544,8,0
No,No,11,137.44430694841486,165.57877553800756,72.5041682150626,1,0
No,No,43,154.6066357273092,209.1015089594731,50.05297547806507,6,0
No,No,9,261.06987611978343,206.78202025874555,183.61457441315966,3,0
No,No,30,54.11181255449622,90.01865887237929,137.42152462197842,5,1
Yes,Yes,11,178.97475516850096,115.60011216749403,215.04219661347778,9,0
Yes,No,3,175.55055320311618,170.90425163003013,227.5505440798251,9,0
No,Yes,20,58.86592785812651,63.788909861763536,159.57961861663043,0,0
Yes,No,47,93.15792992041112,73.32900533632582,102.98524261639484,5,1
No,No,15,133.70229451003217,146.53879204534064,213.36804968510705,0,1
Yes,No,1,190.87672661172505,291.9066224084014,209.744795047011,8,1
Yes,Yes,33,213.2278081198849,282.700799654202,171.54495891435724,4,1
Yes,Yes,35,159.7562787481574,116.04847459523167,178.4153165490437,8,1
No,No,11,176.707162872134,269.00164654860873,102.50357497881603,8,0
Yes,Yes,49,164.1873230051025,286.0879681062755,83.76042163611433,5,0
Yes,Yes,10,198.9180004238827,171.59208031451962,107.42638249867602,0,0
No,Yes,25,286.6553650626937,51.26967275550774,143.82046338186672,8,0
No,No,3,168.78768910093567,138.43317294970933,57.96772739015797,0,0
Yes,No,46,89.01984061872224,95.72407937430924,116.45507657799246,8,1
Yes,No,5,170.99969286610232,152.55873189776324,256.8126159068215,8,1
