International plan,Voice mail plan,Number vmail messages,Total day minutes,Total eve minutes,Total night minutes,Customer service calls,Churn
No,No,5,275.9027191567483,50.872212110762106,247.4757505353635,2,1
No,No,1,196.4676615692562,106.09962189359477,172.00285585029974,9,0
Yes,No,16,183.58121735870415,148.45713316956574,86.50280609491412,7,1
Yes,Yes,9,125.2162177348272,256.1067658279153,99.52427018715716,0,1
Yes,No,28,59.60282680136171,172.05216798141686,189.52372299172526,7,0
Yes,No,11,69.23410973969914,260.1687920059138,267.59326106804826,1,0
Yes,Yes,49,251.09413331602303,220.25329807119147,197.06997848167515,2,1
Yes,Yes,22,141.7658435653736,216.36235533863325,119.4361854836933,8,0
No,No,37,282.61180051796015,189.34176185784642,176.66971990863627,9,1
No,Yes,17,152.0214143446213,67.0220066652158,165.6809653136621,1,0
No,No,25,297.19725673299104,94.68195480922174,198.9157005160312,5,0
Yes,Yes,6,182.4060343048369,218.41568908172928,247.01096844336942,5,1
No,No,36,68.28835575600529,173.89830110732277,196.51792276925983,5,0
No,No,35,105.30722300386071,95.05690938630447,178.99022666068615,8,0
Yes,Yes,15,98.25604989279053,229.7955978604514,289.6967229311975,6,1
No,No,6,103.5635184381214,84.29071651873645,166.51210885466656,7,0
Yes,Yes,42,291.37493144271866,229.80998242081594,250.23319560748112,2,1
Yes,Yes,47,220.32842996846608,149.66234786975343,270.0273435156979,0,0
Yes,No,18,138.80263266958332,263.63549524576797,137.53333954911864,8,1
No,No,29,209.3097285402339,192.30834081445946,61.09206618638298,6,1
Yes,No,20,111.51351006060496,56.044836899865984,236.18063626522422,2,0
Yes,No,12,88.92540181688628,71.7854309154864,250.641626279175,8,1
No,No,5,175.96687064903915,61.74174937742947,176.59477475201618,6,1
Yes,Yes,1,154.34062854306467,141.2031498079678,97.36891578648681,6,0
Yes,Yes,28,189.84401831427834,183.13213818602017,174.9732081257514,3,1
Yes,No,49,127.15495041312059,157.49905145614304,263.4850998401264,3,1
No,No,40,116.05612208903821,131.1950913560483,121.47042681713553,6,1
No,Yes,46,291.5316354663753,201.1791358341458,56.18611078307138,1,0
No,Yes,22,285.69969265562213,84.32255798079785,205.31869628499308,6,0
Yes,No,47,256.92619669086486,189.54974826991693,218.28257154868612,1,0
Yes,No,14,191.51188115201202,251.11148759846142,229.15015827647963,4,0
Yes,Yes,5,280.9708633197646,167.5806158025402,211.25706195259164,8,0
Yes,No,46,109.5233008416522,69.15964625523075,132.2330744446831,0,0
No,No,25,252.36531506678682,73.84148350725718,198.29541324458629,3,0
Yes,Yes,33,286.9826969537735,104.90401821247363,185.28305896587514,1,1
No,Yes,14,183.00448344435924,50.56341816671751,177.382671300837,1,0
