State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
TX,191,408,No,Yes,11,93.0979464247811,33,17.528493496745316,290.9373057687626,74,31.77390480022153,105.5288067053175,147,14.577499093038327,25.58482680955622,19,9.97160629944041,3,0
TX,155,408,No,Yes,7,188.2242817528632,133,34.41724378889578,170.07393199137508,32,28.08357103663975,116.1716619657746,34,36.936269939848465,13.199970534208651,9,9.057946519144874,5,1
TX,122,408,No,Yes,35,60.48770779023847,78,37.10365735603662,185.24162395940024,50,1.6911107238519019,26.72459606969212,80,1.4095514089567884,25.06922700825271,11,6.62738614621445,1,1
TX,41,408,No,No,1,284.2305287775309,144,37.151503845122576,271.2314413057455,142,17.8765932011541,118.16961606032496,0,34.510366771934436,10.399366164949782,3,3.3875996760101366,3,0
TX,52,408,No,Yes,31,165.24675326242595,126,8.634491913935245,172.59862754516476,134,15.10500999311497,79.64998650430167,112,41.2604355459809,21.485737641129997,1,3.158492686296399,6,0
TX,25,408,No,No,0,43.44806517760538,139,7.88856518481455,20.649914507216373,116,18.496083518119143,188.52629323101044,31,30.0373649969283,19.240636189769546,0,2.252169143972005,6,0
TX,149,408,Yes,Yes,35,119.21924607983972,121,42.38153500330398,2.3745179221024038,31,44.32477372147317,209.21204297358344,16,48.82671320743269,3.8187746447597037,10,6.442989337948309,5,1
TX,81,408,Yes,No,0,298.20619826343,36,35.738624833702644,135.93755898914574,114,17.863364142755277,275.19534368921336,13,7.6749709235874874,4.55797981192351,1,2.017507680853736,9,1
TX,144,408,No,No,12,41.61758981359719,16,39.605746369281086,115.66311207289667,45,45.00060557489291,167.7137973903415,50,38.68022103658728,28.433367530854504,6,6.941589526967119,9,0
TX,136,408,No,No,37,293.47981154385525,38,21.697930415124528,116.80012121382833,58,3.540288994536178,206.23322329094938,149,46.91443539255717,5.756372765151382,7,7.334162486997519,7,1
TX,5,408,No,No,43,201.2124068497755,110,12.844923615468723,220.54122441421515,35,34.12442482064238,162.1069346331684,105,30.68307820439854,9.277458024654655,10,8.486218577319889,8,1
TX,117,408,Yes,No,11,107.04755659558,134,43.42580224539495,8.859740226812862,50,11.272909762122202,25.66350600693531,54,30.911005007089372,10.314781079679518,12,1.9058554814575723,7,1
TX,94,408,No,No,49,32.94436280204454,82,29.751387887661462,242.39670930737347,20,2.172383813052703,98.67184081879822,17,0.6657718735675999,18.422849247075277,7,4.844722183325546,1,0
TX,153,408,No,Yes,0,12.248158622471228,129,42.35378920030525,273.8202234484723,123,5.601924335972336,39.56701735882117,123,20.008063719716507,20.946685956914248,11,7.688857600075444,6,1
TX,37,408,No,No,48,110.78331150854524,105,1.5214312063499436,151.67369925958457,11,24.646869500530112,18.316752135794868,23,39.33034012197985,16.001475596677793,5,1.511156818396795,6,0
TX,104,408,Yes,Yes,45,93.62025694261284,5,9.234090222420605,255.92611877497916,24,49.73505945094468,154.19982046005006,74,41.73700402106647,29.25832464611699,19,7.501478487348411,4,0
TX,122,408,Yes,No,17,99.996573331234,51,29.80997882975032,179.06132801693585,7,16.53046391514338,294.9908390621843,108,20.835570590701675,23.852884352931014,16,6.405458651524389,3,1
TX,141,408,No,No,1,166.05312620366993,101,25.509507606399108,284.89523286909775,122,7.648733601244362,292.2121037548366,48,24.695676930429578,6.714017972681367,16,9.725022927306746,8,1
TX,91,408,Yes,Yes,42,152.3587060027825,118,30.609967802056694,268.29587941769427,12,1.8620145964677814,57.19267690742166,98,4.496745522647533,1.4189504079807025,7,9.758445533706924,7,0
TX,33,408,No,No,15,132.94354411901836,72,29.300187226205864,299.97533110416987,81,22.39372213953675,93.76541558526563,67,6.212108314135473,14.438682510786636,5,3.523751709047586,7,0
TX,33,408,Yes,No,34,145.02468155863934,64,12.720925340296219,95.30125730087255,10,30.36764728776788,129.3762388699074,118,15.447363184063462,5.377666765128404,2,6.61606477918752,7,1
TX,79,408,Yes,Yes,16,83.05624871678512,2,29.80308099310509,249.78018784889807,24,29.599979730809295,230.25380236281632,15,32.51563565665724,13.846045101884648,16,7.41681602301427,0,0
TX,16,408,No,Yes,18,230.14569040652626,90,31.137074224381113,145.2204354459389,53,0.4785184961469846,43.16061068104354,1,47.280627867780034,5.208110076108977,12,9.85484206031276,8,1
TX,87,408,Yes,No,39,97.97363230697151,2,33.984190804152696,188.15882407238703,112,34.31515825637614,210.92403099647288,24,44.69252444817898,8.841057571810762,18,3.5177595316796006,0,0
TX,33,408,Yes,No,46,96.21957355983804,22,10.464193618312862,9.555766108039288,135,36.655658153888105,47.42971633452346,82,10.824112446051393,17.608866952932594,10,5.5515911684214725,4,1
TX,155,408,Yes,No,30,263.5114986143258,41,30.38631287715688,119.02980395738341,43,15.120723767929045,295.7380864006582,9,6.059567680946543,6.625233576188717,9,0.2828668636121978,5,0
TX,19,408,Yes,Yes,32,247.69275496429785,20,48.65571581926197,287.0810474098519,22,23.491214880608773,159.7306267493236,148,44.182997680118135,3.2459268641615866,7,3.06064064705476,4,0
TX,50,408,Yes,Yes,27,180.26966696581644,130,38.42524064321915,184.8356237705733,99,8.748581028224534,146.91938603901488,1,12.705494378065584,7.430220751415498,9,3.063203961222528,5,1
TX,68,408,Yes,Yes,20,246.7720410340192,117,15.166356629367234,237.98014122428432,40,24.266071226737196,261.8045364638996,130,35.13561039076862,15.761649662414515,1,3.7324942232330063,8,1
TX,80,408,Yes,Yes,30,155.8950100850509,30,46.34622355994495,175.08737488373654,47,44.17427125644632,69.3817380906424,91,14.807403029123577,11.092286519340481,10,8.907275567750471,3,1
TX,156,408,No,Yes,37,53.618484177434254,85,24.984141342624238,81.94264576250029,99,44.86737648381693,122.20544944845722,107,12.171753786616046,0.036502417667405584,4,7.943527789002881,7,0
TX,12,408,Yes,Yes,48,261.6562523170226,65,35.44379646186565,110.75701181018263,108,1.198151255782176,67.9831826933649,91,7.189487497462787,1.7012042628158308,16,1.1486584603560446,3,1
TX,148,408,No,Yes,2,242.85872923341586,20,40.276214877203444,289.0425999601995,82,13.624875261898728,280.89779415506064,44,34.2488784264194,9.593243823899634,17,0.5457779906167959,2,0
TX,95,408,Yes,Yes,44,229.2512436450552,40,49.26302730698154,194.3553427506578,38,32.603365933481896,226.46357486264122,103,36.44509819986376,12.947052280959614,4,8.42458513968534,4,1
TX,149,408,Yes,Yes,30,143.66351332540094,85,38.17682640422111,120.77757979914833,130,2.4138486835567408,245.58411863045845,29,36.48610906479595,13.211272884112418,0,6.457239189342614,4,1
TX,155,408,Yes,Yes,35,141.38136525275243,140,34.29228237808358,130.79758579547456,42,24.191955043855668,109.81636533718694,23,15.33350184255426,28.877006499963212,5,3.8678137641841834,3,1
TX,179,408,Yes,No,34,225.04688974028122,6,32.91538648463111,66.00054592630676,139,15.31966570752945,196.56622949807138,28,11.888472936040905,2.813215327533997,18,7.9043827165143385,8,0
TX,62,408,Yes,Yes,32,87.20780617409771,114,49.777933357474446,247.0484376840759,46,47.688642964404245,114.07730472432299,34,37.604508187302365,18.489362608292208,6,8.816899912700494,8,1
TX,43,408,No,No,41,37.95311600970794,149,4.849566391172166,20.527990250524198,101,3.157548587905051,112.68741080860386,88,34.893849553437086,4.767745626449404,19,3.03872081041436,0,1
TX,159,408,No,No,12,249.2496739018415,148,3.7207114238842487,152.7447799269044,16,28.834256820172765,160.6447905062314,3,25.985275384609096,12.335505864121831,3,5.8727249556012175,7,1
TX,45,408,Yes,Yes,26,114.28582671827911,21,21.823882446550375,132.6993675607849,25,26.77269758792834,141.52688836869314,6,18.80463526470106,26.198722408939588,17,1.91127271324946,8,1
TX,178,408,No,Yes,40,33.75677289821651,41,0.41364026171005763,39.419446410013606,22,25.90205641340012,90.12268807017841,34,33.30306818641166,11.240286670794653,1,5.898727887595486,8,0
TX,134,408,No,No,21,251.63940504242632,139,34.639518692868215,15.833680082910629,138,29.03032309970091,130.47865840892848,7,33.67340710322782,15.343498235087607,2,5.0264712883924165,9,1
TX,166,408,Yes,No,47,78.97785748109904,148,18.233272214117935,168.4531431888539,40,24.556015495243155,19.745898477213654,65,40.06000090864697,26.69319553520894,5,1.293799455670599,5,1
TX,163,408,Yes,Yes,41,256.7120568233634,84,15.627466965400544,134.23149572114903,100,44.89529309526337,194.88622174477433,48,35.98960368960407,22.602312774247498,8,4.267701099447382,2,1
TX,70,408,No,No,22,254.28837509525013,32,43.09938750219423,114.36145502882769,110,8.683140995531913,143.52421290694136,13,31.705363337402282,11.006084049382533,7,1.6339712812165075,8,1
TX,140,408,Yes,No,46,119.92937716346243,104,9.57832116549735,94.26000055735867,63,1.5194180545075875,5.318393011166211,0,8.257466425285193,4.286709511337913,10,0.6538589098941205,9,1
TX,11,408,No,Yes,39,22.59679223445462,6,30.514020749364036,275.72065698053405,13,17.922707528149353,76.45399263900372,31,11.942938611352938,2.486940861203313,1,7.954897368413486,4,1
TX,93,408,No,No,12,263.40321188877243,77,34.19846834900085,113.38011130569076,44,23.64139932768414,216.34577334332081,132,25.116312940001468,15.14586883881289,14,3.4128822624991964,7,0
TX,185,408,No,No,47,85.12988441425514,89,47.48972117844557,108.36946904051165,46,22.8260876386084,119.99384252971103,92,10.786619647477414,9.602002076217737,2,5.8264334858372715,1,0
