International plan,Voice mail plan,Number vmail messages,Total day minutes,Total eve minutes,Total night minutes,Customer service calls,Churn
Yes,No,0,78.3,136.63,85.73,1,0
No,No,0,96.56,136.95,86.13,1,0
Yes,Yes,7,156.84,117.73,50.45,0,0
No,Yes,27,137.48,136.36,73.52,2,0
No,No,0,64.78,139.21,82.28,2,0
No,No,0,135.86,133.76,101.64,0,0
No,Yes,16,154.82,94.45,117.6,2,0
Yes,Yes,28,131.88,98.29,55.96,1,0
Yes,Yes,37,126.42,97.12,118.4,0,0
No,No,0,112.84,66.4,90.59,0,0
No,No,0,147.78,98.33,110.2,1,0
No,No,0,79.87,127.74,60.89,1,0
Yes,Yes,9,152.15,135.7,54.86,0,0
No,Yes,23,62.33,98.13,52.04,2,0
No,No,0,88.79,83.0,91.05,1,0
No,Yes,39,120.08,135.8,57.41,0,0
Yes,No,0,129.32,124.34,55.43,0,0
Yes,No,0,159.45,122.27,55.26,2,0
Yes,No,0,81.12,81.97,51.7,2,0
Yes,Yes,29,104.89,91.56,115.19,2,0
Yes,Yes,35,130.52,92.1,119.61,0,0
No,No,0,77.19,80.34,117.86,0,0
Yes,No,0,121.11,96.89,68.29,0,0
Yes,Yes,27,66.5,75.51,54.73,2,0
Yes,No,0,154.05,129.82,103.17,0,0
No,No,0,93.64,137.8,93.97,0,0
No,No,0,91.82,94.94,84.91,1,0
No,No,0,104.77,74.47,81.69,2,0
No,No,0,107.21,126.2,119.88,2,0
No,No,0,156.61,81.54,56.47,2,0
No,No,0,74.66,103.1,106.97,0,0
Yes,No,0,103.77,67.85,67.9,0,0
Yes,Yes,11,138.91,133.05,78.09,2,0
No,No,0,124.76,90.65,70.3,2,0
Yes,Yes,30,98.88,137.19,114.59,2,0
No,No,0,62.02,107.42,96.14,0,0
No,Yes,28,97.33,115.85,62.22,1,0
Yes,Yes,5,91.02,85.34,62.72,1,0
Yes,No,0,124.78,105.38,74.44,0,0
No,Yes,26,131.41,126.57,51.94,2,0
Yes,Yes,19,80.65,111.75,105.73,2,0
No,No,0,143.99,106.14,62.09,2,0
Yes,No,0,75.43,115.48,78.04,0,0
No,No,0,128.05,121.94,116.33,2,0
Yes,Yes,14,125.6,87.15,83.72,0,0
Yes,No,0,67.57,121.01,80.99,0,0
Yes,Yes,40,135.57,85.15,84.38,2,0
No,Yes,37,81.24,136.89,91.7,2,0
Yes,Yes,39,109.09,68.69,100.38,2,0
Yes,No,0,74.34,61.35,106.89,2,0
Yes,No,0,120.84,126.53,89.79,2,0
Yes,Yes,12,105.14,112.9,65.13,2,0
Yes,No,0,139.42,123.76,91.45,1,0
Yes,Yes,24,68.37,136.52,108.63,0,0
No,No,0,111.19,94.08,77.51,2,0
No,Yes,25,95.38,106.23,53.26,1,0
Yes,Yes,28,129.54,86.59,58.21,2,0
Yes,No,0,138.01,68.93,55.29,0,0
Yes,No,0,141.03,137.18,106.44,2,0
No,Yes,36,81.48,62.97,71.41,0,0
No,No,0,70.1,76.22,96.19,1,0
No,No,0,135.7,139.03,66.14,1,0
No,No,0,113.77,102.11,106.17,0,0
No,Yes,15,126.6,67.91,71.87,0,0
Yes,Yes,14,68.9,97.79,109.55,2,0
